"recommended.pars.mtry","recommended.pars.min.node.size","recommended.pars.sample.fraction","recommended.pars.multiclass.brier","recommended.pars.exec.time"
3,7,0.451456484207468,0.566430797856442,0.168
3,7,0.468042656897159,0.567557005541557,0.162
3,6,0.421496099978917,0.567312779785263,0.182
3,7,0.474794594885572,0.567924945351538,0.163999999999999
3,7,0.564389655511954,0.568400142592645,0.181999999999999
4,7,0.394572967441597,0.566469671358919,0.166000000000001
3,5,0.455786152426134,0.566596478994999,0.159999999999999
3,6,0.501082786506387,0.566186582722939,0.175999999999999
5,6,0.406951288765486,0.569175472001837,0.163999999999999
3,8,0.532538902089861,0.567335184107956,0.159999999999999
3,6,0.47491946262226,0.567869501445092,0.177999999999997
3,8,0.510541181184363,0.568081328250404,0.158000000000001
3,7,0.48474880080031,0.56693822607631,0.168000000000001
3,7,0.475858285978344,0.568285192889162,0.166000000000003
4,6,0.386294858456448,0.567732274088623,0.190000000000003
4,5,0.363995676985023,0.568186133625986,0.158000000000004
3,6,0.498357505253772,0.567821868928179,0.163999999999999
3,8,0.542295475674782,0.567605558359551,0.174000000000007
4,7,0.425273698492394,0.568829267047008,0.157999999999998
3,7,0.472360098416213,0.566512801638466,0.162
3,8,0.597449115123783,0.568746730632729,0.161999999999995
3,9,0.566995886867505,0.56814420877283,0.166000000000003
3,8,0.490129281102156,0.566678235820993,0.163999999999987
3,7,0.474901137870585,0.56679830588619,0.171999999999997
3,7,0.47012643910566,0.567073929028522,0.169999999999993
3,7,0.531585104387741,0.566324582668819,0.168000000000018
4,7,0.440081893847332,0.568539178479269,0.180000000000007
3,5,0.456936800492462,0.566613732529478,0.171999999999991
3,7,0.450260401580503,0.566458528358941,0.163999999999999
3,6,0.424252384049235,0.567724695250028,0.171999999999991
3,6,0.457560765776108,0.5676422211375,0.162
4,6,0.400338547827108,0.567830721203782,0.163999999999999
3,8,0.51954458871074,0.567738546032508,0.166000000000008
4,7,0.4949550882138,0.568832105792416,0.177999999999997
3,7,0.471321872942934,0.567635704332384,0.165999999999997
4,6,0.404994181270327,0.569120010824931,0.167999999999995
3,7,0.530553811646067,0.566503443153913,0.169999999999993
3,7,0.491515230100602,0.567419392295444,0.16400000000001
3,6,0.414824525209111,0.567465740578775,0.161999999999989
3,6,0.429780650370743,0.56739837473692,0.165999999999997
3,9,0.478943960068061,0.568307077343006,0.154000000000019
3,8,0.489038262820522,0.567764161213417,0.162000000000035
3,9,0.520064282757743,0.56719030415793,0.172000000000003
3,6,0.500741723733427,0.568195906175003,0.169999999999993
3,7,0.512530365617791,0.56608554381579,0.171999999999991
